队伍名,胜场数
成都AG超玩会,52
重庆狼队,50
武汉eStarPro,48
苏州KSG,48
广州TTG,46
佛山DRG,38
北京WB,35
济南RW侠,34
杭州LGD.NBW,31
BOA,31
北京JDG,25
长沙TES.A,25
深圳DYG,24
西安WE,18
上海EDG.M,15
上海RNG.M,12
Hero久竞,11
XYG,9
