战队名,英雄名,ban次数,
上海EDG.M,公孙离,7,射
上海EDG.M,夏侯惇,7,"上,野"
上海EDG.M,牛魔,7,辅
上海EDG.M,孙尚香,6,射
上海EDG.M,达摩,6,上
上海EDG.M,黄忠,6,射
上海RNG.M,弈星,9,中
上海RNG.M,杨玉环,8,"野,中"
上海RNG.M,沈梦溪,8,中
上海RNG.M,牛魔,8,辅
上海RNG.M,达摩,8,上
上海RNG.M,戈娅,7,射
上海RNG.M,亚连,6,上
上海RNG.M,姬小满,6,"上,野"
上海RNG.M,曹操,6,"上,野"
上海RNG.M,狂铁,6,上
上海RNG.M,王昭君,6,中
上海RNG.M,鲁班大师,6,辅
佛山DRG,孙尚香,16,射
佛山DRG,姬小满,15,"上,野"
佛山DRG,公孙离,13,射
佛山DRG,张飞,13,辅
佛山DRG,沈梦溪,13,中
佛山DRG,亚连,12,上
佛山DRG,狂铁,12,上
佛山DRG,达摩,11,上
佛山DRG,太乙真人,10,辅
佛山DRG,弈星,10,中
佛山DRG,铠,10,野
佛山DRG,镜,10,野
北京JDG,沈梦溪,14,中
北京JDG,狂铁,13,上
北京JDG,公孙离,11,射
北京JDG,姬小满,11,"上,野"
北京JDG,王昭君,11,中
北京JDG,弈星,10,中
北京JDG,杨玉环,10,"野,中"
北京JDG,夏洛特,9,上
北京JDG,敖隐,9,射
北京JDG,曹操,9,"上,野"
北京JDG,达摩,9,上
北京JDG,黄忠,9,射
北京WB,弈星,14,中
北京WB,达摩,13,上
北京WB,姬小满,12,"上,野"
北京WB,不知火舞,11,中
北京WB,亚连,10,上
北京WB,公孙离,10,射
北京WB,铠,10,野
北京WB,张飞,9,辅
北京WB,戈娅,9,射
北京WB,敖隐,9,射
北京WB,狂铁,9,上
北京WB,黄忠,9,射
广州TTG,姬小满,15,"上,野"
广州TTG,沈梦溪,15,中
广州TTG,不知火舞,13,中
广州TTG,亚连,13,上
广州TTG,公孙离,13,射
广州TTG,张飞,13,辅
广州TTG,孙膑,12,辅
广州TTG,狂铁,12,上
广州TTG,铠,12,野
广州TTG,夏洛特,11,上
广州TTG,鲁班大师,11,辅
成都AG超玩会,姬小满,16,"上,野"
成都AG超玩会,王昭君,15,中
成都AG超玩会,夏侯惇,14,"上,野"
成都AG超玩会,曹操,13,"上,野"
成都AG超玩会,沈梦溪,12,中
成都AG超玩会,夏洛特,11,上
成都AG超玩会,孙尚香,11,射
成都AG超玩会,张飞,11,辅
成都AG超玩会,敖隐,11,射
成都AG超玩会,朵莉亚,11,辅
杭州LGD.NBW,孙尚香,14,射
杭州LGD.NBW,公孙离,13,射
杭州LGD.NBW,姬小满,13,"上,野"
杭州LGD.NBW,王昭君,13,中
杭州LGD.NBW,达摩,13,上
杭州LGD.NBW,弈星,12,中
杭州LGD.NBW,张飞,12,辅
杭州LGD.NBW,朵莉亚,12,辅
杭州LGD.NBW,狂铁,11,上
杭州LGD.NBW,亚连,10,上
杭州LGD.NBW,戈娅,10,射
杭州LGD.NBW,杨玉环,10,"野,中"
武汉eStarPro,沈梦溪,17,中
武汉eStarPro,公孙离,16,射
武汉eStarPro,孙策,16,上
武汉eStarPro,姬小满,15,"上,野"
武汉eStarPro,杨玉环,15,"野,中"
武汉eStarPro,牛魔,15,辅
武汉eStarPro,铠,15,野
武汉eStarPro,王昭君,14,中
武汉eStarPro,亚连,13,上
武汉eStarPro,朵莉亚,13,辅
济南RW侠,狂铁,14,上
济南RW侠,亚连,13,上
济南RW侠,王昭君,13,中
济南RW侠,牛魔,12,辅
济南RW侠,弈星,11,中
济南RW侠,公孙离,10,射
济南RW侠,杨玉环,10,"野,中"
济南RW侠,海月,10,中
济南RW侠,狄仁杰,10,射
济南RW侠,姬小满,9,"上,野"
济南RW侠,戈娅,9,射
济南RW侠,沈梦溪,9,中
济南RW侠,达摩,9,上
济南RW侠,鲁班七号,9,射
济南RW侠,鲁班大师,9,辅
深圳DYG,夏洛特,9,上
深圳DYG,姬小满,9,"上,野"
深圳DYG,沈梦溪,8,中
深圳DYG,鲁班大师,8,辅
深圳DYG,黄忠,8,射
深圳DYG,戈娅,7,射
深圳DYG,杨玉环,7,"野,中"
深圳DYG,牛魔,7,辅
深圳DYG,狄仁杰,7,射
深圳DYG,王昭君,7,中
深圳DYG,裴擒虎,7,野
深圳DYG,西施,7,中
深圳DYG,达摩,7,上
深圳DYG,铠,7,野
苏州KSG,牛魔,17,辅
苏州KSG,公孙离,15,射
苏州KSG,狂铁,15,上
苏州KSG,姬小满,14,"上,野"
苏州KSG,张飞,14,辅
苏州KSG,达摩,14,上
苏州KSG,杨玉环,13,"野,中"
苏州KSG,沈梦溪,13,中
苏州KSG,不知火舞,11,中
苏州KSG,夏侯惇,11,"上,野"
苏州KSG,孙尚香,11,射
苏州KSG,曹操,11,"上,野"
苏州KSG,王昭君,11,中
西安WE,太乙真人,8,辅
西安WE,姬小满,8,"上,野"
西安WE,弈星,8,中
西安WE,戈娅,8,射
西安WE,杨玉环,8,"野,中"
西安WE,王昭君,8,中
西安WE,苏烈,8,辅
西安WE,亚连,7,上
西安WE,孙尚香,7,射
西安WE,曹操,7,"上,野"
西安WE,沈梦溪,7,中
西安WE,狂铁,7,上
西安WE,铠,7,野
重庆狼队,夏侯惇,15,"上,野"
重庆狼队,戈娅,14,射
重庆狼队,沈梦溪,14,中
重庆狼队,亚连,13,上
重庆狼队,孙尚香,13,射
重庆狼队,狂铁,13,上
重庆狼队,王昭君,13,中
重庆狼队,苏烈,13,辅
重庆狼队,敖隐,12,射
重庆狼队,曹操,12,"上,野"
重庆狼队,达摩,12,上
长沙TES.A,公孙离,13,射
长沙TES.A,姬小满,12,"上,野"
长沙TES.A,戈娅,12,射
长沙TES.A,牛魔,12,辅
长沙TES.A,弈星,11,中
长沙TES.A,裴擒虎,11,野
长沙TES.A,亚连,10,上
长沙TES.A,张飞,10,辅
长沙TES.A,狂铁,10,上
长沙TES.A,王昭君,10,中
